Parameter,Value
Param_1,705
Param_2,621
Param_3,366
Param_4,196
Param_5,979
Param_6,713
Param_7,374
Param_8,309
Param_9,189
Param_10,854
Param_11,644
Param_12,854
Param_13,520
Param_14,53
Param_15,231
Param_16,464
Param_17,808
Param_18,373
Param_19,62
Param_20,637
Param_21,450
Param_22,418
Param_23,813
Param_24,619
Param_25,923
Param_26,77
Param_27,364
Param_28,73
Param_29,984
Param_30,282
Param_31,740
Param_32,802
Param_33,60
Param_34,289
Param_35,167
Param_36,496
Param_37,685
Param_38,661
Param_39,981
Param_40,465
Param_41,512
Param_42,824
Param_43,857
Param_44,444
Param_45,322
Param_46,994
Param_47,988
Param_48,466
Param_49,616
Param_50,654
Param_51,873
Param_52,695
Param_53,367
Param_54,276
Param_55,359
Param_56,718
Param_57,313
Param_58,701
Param_59,388
Param_60,853
Param_61,420
Param_62,243
Param_63,565
Param_64,442
Param_65,181
Param_66,804
Param_67,192
Param_68,938
Param_69,297
Param_70,36
Param_71,401
Param_72,880
Param_73,571
Param_74,64
Param_75,866
Param_76,751
Param_77,120
Param_78,676
Param_79,894
Param_80,45
Param_81,714
Param_82,343
Param_83,169
Param_84,864
Param_85,205
Param_86,212
Param_87,716
Param_88,440
Param_89,906
Param_90,181
Param_91,921
Param_92,143
Param_93,37
Param_94,74
Param_95,494
Param_96,433
Param_97,485
Param_98,481
Param_99,544
Param_100,750
