Parameter,Value
Param_1,589
Param_2,247
Param_3,243
Param_4,31
Param_5,650
Param_6,707
Param_7,628
Param_8,763
Param_9,22
Param_10,567
Param_11,868
Param_12,504
Param_13,859
Param_14,709
Param_15,208
Param_16,441
Param_17,140
Param_18,723
Param_19,465
Param_20,178
Param_21,280
Param_22,651
Param_23,927
Param_24,918
Param_25,111
Param_26,763
Param_27,843
Param_28,36
Param_29,448
Param_30,891
Param_31,17
Param_32,872
Param_33,709
Param_34,58
Param_35,261
Param_36,596
Param_37,29
Param_38,903
Param_39,816
Param_40,503
Param_41,222
Param_42,625
Param_43,174
Param_44,492
Param_45,262
Param_46,380
Param_47,355
Param_48,588
Param_49,301
Param_50,235
Param_51,955
Param_52,309
Param_53,551
Param_54,420
Param_55,688
Param_56,667
Param_57,713
Param_58,636
Param_59,609
Param_60,572
Param_61,637
Param_62,541
Param_63,255
Param_64,74
Param_65,190
Param_66,391
Param_67,367
Param_68,787
Param_69,597
Param_70,439
Param_71,521
Param_72,413
Param_73,951
Param_74,769
Param_75,208
Param_76,426
Param_77,149
Param_78,146
Param_79,61
Param_80,491
Param_81,637
Param_82,122
Param_83,317
Param_84,108
Param_85,171
Param_86,970
Param_87,281
Param_88,558
Param_89,773
Param_90,872
Param_91,160
Param_92,869
Param_93,25
Param_94,632
Param_95,78
Param_96,344
Param_97,896
Param_98,940
Param_99,358
Param_100,658
