Parameter,Value
Param_1,318
Param_2,814
Param_3,482
Param_4,515
Param_5,123
Param_6,334
Param_7,582
Param_8,10
Param_9,66
Param_10,907
Param_11,12
Param_12,980
Param_13,365
Param_14,981
Param_15,602
Param_16,566
Param_17,301
Param_18,392
Param_19,468
Param_20,472
Param_21,890
Param_22,758
Param_23,726
Param_24,254
Param_25,402
Param_26,979
Param_27,89
Param_28,643
Param_29,788
Param_30,571
Param_31,497
Param_32,652
Param_33,351
Param_34,413
Param_35,86
Param_36,924
Param_37,89
Param_38,341
Param_39,965
Param_40,734
Param_41,82
Param_42,344
Param_43,687
Param_44,616
Param_45,796
Param_46,14
Param_47,603
Param_48,461
Param_49,638
Param_50,935
Param_51,909
Param_52,657
Param_53,268
Param_54,705
Param_55,974
Param_56,757
Param_57,281
Param_58,145
Param_59,866
Param_60,963
Param_61,879
Param_62,408
Param_63,432
Param_64,925
Param_65,293
Param_66,738
Param_67,224
Param_68,1
Param_69,929
Param_70,259
Param_71,338
Param_72,94
Param_73,106
Param_74,249
Param_75,632
Param_76,782
Param_77,83
Param_78,748
Param_79,124
Param_80,624
Param_81,624
Param_82,333
Param_83,7
Param_84,777
Param_85,442
Param_86,88
Param_87,427
Param_88,294
Param_89,547
Param_90,356
Param_91,508
Param_92,577
Param_93,727
Param_94,701
Param_95,873
Param_96,317
Param_97,883
Param_98,198
Param_99,798
Param_100,296
