Parameter,Value
Param_1,411
Param_2,399
Param_3,188
Param_4,545
Param_5,340
Param_6,129
Param_7,211
Param_8,812
Param_9,103
Param_10,518
Param_11,422
Param_12,59
Param_13,958
Param_14,396
Param_15,218
Param_16,324
Param_17,995
Param_18,472
Param_19,365
Param_20,748
Param_21,355
Param_22,973
Param_23,312
Param_24,405
Param_25,173
Param_26,702
Param_27,654
Param_28,246
Param_29,570
Param_30,168
Param_31,362
Param_32,704
Param_33,577
Param_34,568
Param_35,217
Param_36,917
Param_37,88
Param_38,676
Param_39,961
Param_40,266
Param_41,589
Param_42,432
Param_43,178
Param_44,218
Param_45,626
Param_46,595
Param_47,162
Param_48,922
Param_49,229
Param_50,669
Param_51,587
Param_52,786
Param_53,220
Param_54,403
Param_55,257
Param_56,683
Param_57,380
Param_58,407
Param_59,690
Param_60,302
Param_61,544
Param_62,543
Param_63,524
Param_64,672
Param_65,786
Param_66,631
Param_67,47
Param_68,19
Param_69,887
Param_70,498
Param_71,87
Param_72,492
Param_73,452
Param_74,491
Param_75,9
Param_76,61
Param_77,950
Param_78,123
Param_79,562
Param_80,819
Param_81,620
Param_82,156
Param_83,715
Param_84,429
Param_85,253
Param_86,696
Param_87,85
Param_88,572
Param_89,848
Param_90,898
Param_91,157
Param_92,986
Param_93,82
Param_94,537
Param_95,594
Param_96,925
Param_97,855
Param_98,402
Param_99,198
Param_100,560
