Parameter,Value
Param_1,336
Param_2,134
Param_3,243
Param_4,666
Param_5,941
Param_6,352
Param_7,926
Param_8,890
Param_9,488
Param_10,128
Param_11,147
Param_12,14
Param_13,186
Param_14,294
Param_15,238
Param_16,727
Param_17,454
Param_18,38
Param_19,109
Param_20,796
Param_21,672
Param_22,847
Param_23,7
Param_24,724
Param_25,150
Param_26,521
Param_27,124
Param_28,107
Param_29,621
Param_30,889
Param_31,539
Param_32,485
Param_33,323
Param_34,983
Param_35,809
Param_36,748
Param_37,298
Param_38,227
Param_39,118
Param_40,645
Param_41,927
Param_42,183
Param_43,432
Param_44,542
Param_45,995
Param_46,994
Param_47,162
Param_48,621
Param_49,470
Param_50,969
Param_51,720
Param_52,308
Param_53,633
Param_54,423
Param_55,680
Param_56,262
Param_57,225
Param_58,885
Param_59,299
Param_60,52
Param_61,436
Param_62,39
Param_63,327
Param_64,519
Param_65,197
Param_66,453
Param_67,163
Param_68,179
Param_69,292
Param_70,416
Param_71,248
Param_72,785
Param_73,329
Param_74,712
Param_75,465
Param_76,902
Param_77,753
Param_78,668
Param_79,278
Param_80,506
Param_81,576
Param_82,173
Param_83,189
Param_84,220
Param_85,381
Param_86,597
Param_87,227
Param_88,505
Param_89,943
Param_90,793
Param_91,30
Param_92,743
Param_93,443
Param_94,590
Param_95,554
Param_96,830
Param_97,446
Param_98,458
Param_99,751
Param_100,200
