Parameter,Value
Param_1,873
Param_2,678
Param_3,301
Param_4,235
Param_5,462
Param_6,475
Param_7,145
Param_8,339
Param_9,39
Param_10,134
Param_11,92
Param_12,479
Param_13,461
Param_14,899
Param_15,469
Param_16,13
Param_17,304
Param_18,506
Param_19,717
Param_20,517
Param_21,671
Param_22,779
Param_23,181
Param_24,422
Param_25,361
Param_26,115
Param_27,771
Param_28,711
Param_29,833
Param_30,146
Param_31,869
Param_32,38
Param_33,252
Param_34,342
Param_35,485
Param_36,761
Param_37,572
Param_38,70
Param_39,246
Param_40,407
Param_41,844
Param_42,242
Param_43,388
Param_44,426
Param_45,946
Param_46,747
Param_47,702
Param_48,977
Param_49,895
Param_50,511
Param_51,759
Param_52,245
Param_53,20
Param_54,414
Param_55,403
Param_56,206
Param_57,629
Param_58,590
Param_59,887
Param_60,39
Param_61,14
Param_62,743
Param_63,117
Param_64,7
Param_65,156
Param_66,945
Param_67,868
Param_68,292
Param_69,587
Param_70,111
Param_71,643
Param_72,194
Param_73,173
Param_74,399
Param_75,646
Param_76,175
Param_77,804
Param_78,634
Param_79,96
Param_80,250
Param_81,346
Param_82,471
Param_83,452
Param_84,916
Param_85,902
Param_86,880
Param_87,385
Param_88,808
Param_89,840
Param_90,97
Param_91,915
Param_92,618
Param_93,254
Param_94,352
Param_95,767
Param_96,675
Param_97,159
Param_98,37
Param_99,967
Param_100,479
