Site: Zagreb
Date: 2025-10-07
Coordinates: 56.973612, 30.311947
Line 1: Temp=27°C, Humidity=81%, Weather=Windy, Battery=89%, Data=Completed
Line 2: Temp=25°C, Humidity=80%, Weather=Windy, Battery=82%, Data=Completed
Line 3: Temp=28°C, Humidity=71%, Weather=Cloudy, Battery=98%, Data=Partial
Line 4: Temp=25°C, Humidity=76%, Weather=Cloudy, Battery=98%, Data=Pending
Line 5: Temp=26°C, Humidity=74%, Weather=Cloudy, Battery=92%, Data=Pending
Line 6: Temp=28°C, Humidity=73%, Weather=Cloudy, Battery=91%, Data=Partial
Line 7: Temp=26°C, Humidity=80%, Weather=Cloudy, Battery=95%, Data=Pending
Line 8: Temp=28°C, Humidity=71%, Weather=Cloudy, Battery=81%, Data=Completed
Line 9: Temp=26°C, Humidity=73%, Weather=Cloudy, Battery=83%, Data=Partial
Line 10: Temp=25°C, Humidity=72%, Weather=Sunny, Battery=82%, Data=Completed
Line 11: Temp=27°C, Humidity=77%, Weather=Sunny, Battery=92%, Data=Completed
Line 12: Temp=25°C, Humidity=76%, Weather=Windy, Battery=99%, Data=Partial
Line 13: Temp=28°C, Humidity=76%, Weather=Rainy, Battery=98%, Data=Partial
Line 14: Temp=25°C, Humidity=74%, Weather=Sunny, Battery=82%, Data=Partial
Line 15: Temp=25°C, Humidity=78%, Weather=Foggy, Battery=80%, Data=Partial
Line 16: Temp=24°C, Humidity=76%, Weather=Sunny, Battery=97%, Data=Pending
Line 17: Temp=28°C, Humidity=78%, Weather=Cloudy, Battery=82%, Data=Pending
Line 18: Temp=24°C, Humidity=71%, Weather=Sunny, Battery=92%, Data=Partial
Line 19: Temp=24°C, Humidity=74%, Weather=Rainy, Battery=92%, Data=Pending
Line 20: Temp=27°C, Humidity=75%, Weather=Rainy, Battery=96%, Data=Completed
Line 21: Temp=27°C, Humidity=71%, Weather=Sunny, Battery=100%, Data=Partial
Line 22: Temp=28°C, Humidity=78%, Weather=Windy, Battery=89%, Data=Partial
Line 23: Temp=25°C, Humidity=78%, Weather=Sunny, Battery=87%, Data=Partial
Line 24: Temp=28°C, Humidity=71%, Weather=Rainy, Battery=99%, Data=Partial
Line 25: Temp=24°C, Humidity=77%, Weather=Rainy, Battery=84%, Data=Completed
Line 26: Temp=26°C, Humidity=71%, Weather=Foggy, Battery=89%, Data=Pending
Line 27: Temp=24°C, Humidity=71%, Weather=Windy, Battery=92%, Data=Pending
Line 28: Temp=27°C, Humidity=81%, Weather=Foggy, Battery=86%, Data=Completed
Line 29: Temp=27°C, Humidity=81%, Weather=Foggy, Battery=93%, Data=Partial
Line 30: Temp=27°C, Humidity=79%, Weather=Rainy, Battery=90%, Data=Pending
Line 31: Temp=24°C, Humidity=77%, Weather=Foggy, Battery=87%, Data=Completed
Line 32: Temp=28°C, Humidity=80%, Weather=Rainy, Battery=85%, Data=Pending
Line 33: Temp=25°C, Humidity=73%, Weather=Windy, Battery=83%, Data=Completed
Line 34: Temp=24°C, Humidity=76%, Weather=Cloudy, Battery=85%, Data=Pending
Line 35: Temp=24°C, Humidity=75%, Weather=Cloudy, Battery=85%, Data=Partial
Line 36: Temp=25°C, Humidity=74%, Weather=Cloudy, Battery=98%, Data=Completed
Line 37: Temp=25°C, Humidity=71%, Weather=Foggy, Battery=94%, Data=Partial
Line 38: Temp=27°C, Humidity=81%, Weather=Sunny, Battery=91%, Data=Partial
Line 39: Temp=25°C, Humidity=80%, Weather=Rainy, Battery=100%, Data=Pending
Line 40: Temp=28°C, Humidity=74%, Weather=Sunny, Battery=88%, Data=Completed
Line 41: Temp=24°C, Humidity=75%, Weather=Sunny, Battery=98%, Data=Pending
Line 42: Temp=28°C, Humidity=74%, Weather=Foggy, Battery=94%, Data=Completed
Line 43: Temp=25°C, Humidity=76%, Weather=Rainy, Battery=92%, Data=Partial
Line 44: Temp=25°C, Humidity=73%, Weather=Windy, Battery=80%, Data=Partial
Line 45: Temp=28°C, Humidity=76%, Weather=Foggy, Battery=96%, Data=Pending
Line 46: Temp=28°C, Humidity=71%, Weather=Windy, Battery=80%, Data=Pending
Line 47: Temp=24°C, Humidity=80%, Weather=Windy, Battery=89%, Data=Completed
Line 48: Temp=26°C, Humidity=76%, Weather=Rainy, Battery=94%, Data=Pending
Line 49: Temp=24°C, Humidity=79%, Weather=Foggy, Battery=85%, Data=Pending
Line 50: Temp=25°C, Humidity=81%, Weather=Sunny, Battery=90%, Data=Pending
Line 51: Temp=24°C, Humidity=81%, Weather=Rainy, Battery=97%, Data=Partial
Line 52: Temp=28°C, Humidity=73%, Weather=Cloudy, Battery=85%, Data=Completed
Line 53: Temp=28°C, Humidity=80%, Weather=Cloudy, Battery=94%, Data=Partial
Line 54: Temp=25°C, Humidity=75%, Weather=Foggy, Battery=96%, Data=Partial
Line 55: Temp=25°C, Humidity=75%, Weather=Windy, Battery=80%, Data=Pending
Line 56: Temp=27°C, Humidity=76%, Weather=Sunny, Battery=81%, Data=Partial
Line 57: Temp=26°C, Humidity=78%, Weather=Windy, Battery=83%, Data=Completed
Line 58: Temp=25°C, Humidity=73%, Weather=Foggy, Battery=98%, Data=Partial
Line 59: Temp=24°C, Humidity=76%, Weather=Rainy, Battery=96%, Data=Pending
Line 60: Temp=24°C, Humidity=78%, Weather=Sunny, Battery=91%, Data=Completed
Line 61: Temp=24°C, Humidity=76%, Weather=Foggy, Battery=84%, Data=Completed
Line 62: Temp=26°C, Humidity=71%, Weather=Sunny, Battery=95%, Data=Pending
Line 63: Temp=25°C, Humidity=81%, Weather=Windy, Battery=97%, Data=Pending
Line 64: Temp=27°C, Humidity=76%, Weather=Cloudy, Battery=89%, Data=Partial
Line 65: Temp=25°C, Humidity=72%, Weather=Sunny, Battery=94%, Data=Partial
Line 66: Temp=28°C, Humidity=78%, Weather=Cloudy, Battery=92%, Data=Partial
Line 67: Temp=25°C, Humidity=74%, Weather=Windy, Battery=84%, Data=Completed
Line 68: Temp=24°C, Humidity=71%, Weather=Rainy, Battery=91%, Data=Partial
