Parameter,Value
Param_1,114
Param_2,929
Param_3,541
Param_4,253
Param_5,146
Param_6,844
Param_7,72
Param_8,548
Param_9,641
Param_10,887
Param_11,970
Param_12,131
Param_13,18
Param_14,659
Param_15,861
Param_16,659
Param_17,131
Param_18,705
Param_19,318
Param_20,439
Param_21,102
Param_22,952
Param_23,480
Param_24,869
Param_25,504
Param_26,828
Param_27,494
Param_28,64
Param_29,835
Param_30,58
Param_31,702
Param_32,734
Param_33,142
Param_34,692
Param_35,249
Param_36,783
Param_37,167
Param_38,938
Param_39,471
Param_40,241
Param_41,700
Param_42,303
Param_43,633
Param_44,137
Param_45,294
Param_46,559
Param_47,345
Param_48,966
Param_49,383
Param_50,371
Param_51,307
Param_52,505
Param_53,623
Param_54,279
Param_55,359
Param_56,760
Param_57,643
Param_58,248
Param_59,920
Param_60,743
Param_61,39
Param_62,111
Param_63,383
Param_64,380
Param_65,998
Param_66,976
Param_67,443
Param_68,583
Param_69,652
Param_70,81
Param_71,94
Param_72,955
Param_73,545
Param_74,278
Param_75,17
Param_76,774
Param_77,277
Param_78,201
Param_79,319
Param_80,876
Param_81,596
Param_82,819
Param_83,789
Param_84,538
Param_85,803
Param_86,118
Param_87,45
Param_88,88
Param_89,901
Param_90,942
Param_91,791
Param_92,59
Param_93,37
Param_94,872
Param_95,56
Param_96,788
Param_97,355
Param_98,648
Param_99,303
Param_100,321
